Metabolite,F_statistic,p_value,p_adjusted,Significant,VIP_Score
Guanine,2166.1959648204097,2.7313421623571122e-25,1.5650590590306253e-22,True,1.5112993108857784
N-[(2S)-2-Amino-2-carboxyethyl]-L-glutamate,1269.4836860658525,5.58795841897988e-23,1.6009500870377357e-20,True,1.8611476526032669
Ketoleucine,1145.2336744186896,1.556004133779961e-22,2.971967895519725e-20,True,1.664687034832363
Baicalein,930.7720619746337,1.2203038362091416e-21,1.7480852453695952e-19,True,1.7946616361500853
Naringenin,847.5843102467979,3.089615281553102e-21,3.540699112659855e-19,True,1.7158989601728727
Sinapic_acid,577.3288835029498,1.3833899645570606e-19,1.3211374161519929e-17,True,1.7029675463542187
Terephthalate,546.8690749159522,2.3629686996318757e-19,1.9342586641272356e-17,True,1.4961278310840094
Allocystathionine,479.02480146345994,8.729188008014849e-19,6.252280910740635e-17,True,1.806145649295567
Maleamate,315.2884926186946,5.311591413499585e-17,3.3817131999280694e-15,True,1.8133861971778242
2-Naphthol,309.3218238573849,6.403054821474468e-17,3.66895041270487e-15,True,1.8708615773089938
Styrene,298.64409026073736,9.026725446864885e-17,4.702103346412344e-15,True,1.8556662007275642
12-Keto-tetrahydro-leukotriene_B4,290.5232775815178,1.1816530289686622e-16,5.642393213325362e-15,True,1.8059618942285933
Uridine,221.09970959878706,1.684816371186696e-15,6.954041055354924e-14,True,1.6760603544695336
2-Methylserine,220.90767879424118,1.6990676225998067e-15,6.954041055354924e-14,True,1.7842358278728727
D-Ribose,213.9695196505538,2.314671355113771e-15,8.842044576534605e-14,True,1.8857159885130106
Traumatic_Acid,208.18462292545027,3.0179489521446184e-15,1.0808029684867914e-13,True,1.859904931300933
(R)-3-Hydroxybutyric_acid,189.29655402696648,7.563753807284442e-15,2.549429959749403e-13,True,1.7849304068931775
D-Xylose,184.8678158341754,9.502831355094295e-15,3.025067981371684e-13,True,1.640587215466134
Coniferyl_aldehyde,168.76086325674706,2.2839821512658732e-14,6.888009329870238e-13,True,1.7853695468480173
N-Formyl-L-methionine,166.68299754038193,2.5724501532032057e-14,7.370069688927184e-13,True,1.8729702349611563
4-Methylbenzyl_alcohol,151.30317644798396,6.502311237153182e-14,1.7742020661375112e-12,True,1.7607979623608323
N-a-Acetylcitrulline,147.26115750748892,8.421911337757075e-14,2.193525089334002e-12,True,1.813152922250607
