Metabolite,VIP_Score
D-Ribose,1.8857159885130106
N-Formyl-L-methionine,1.8729702349611563
2-Naphthol,1.8708615773089938
N-[(2S)-2-Amino-2-carboxyethyl]-L-glutamate,1.8611476526032669
Traumatic_Acid,1.859904931300933
Pyridoxal_phosphate,1.8560195837558382
Styrene,1.8556662007275642
Pantothenic_acid,1.8533538020916966
6-Hydroxymelatonin,1.8390916402167359
L-Carnitine,1.838235010212176
L-Homophenylalanine,1.8346181951510487
Maleamate,1.8133861971778242
N-a-Acetylcitrulline,1.813152922250607
9-Riburonosyladenine,1.811653862314355
Vaccenic_acid,1.807128575837242
Allocystathionine,1.806145649295567
12-Keto-tetrahydro-leukotriene_B4,1.8059618942285933
Triacetate_lactone,1.8055957622490486
N-Acetylmannosamine,1.8022475468033488
gamma-Glutamyl-beta-aminopropiononitrile,1.8002886591586333
5-Hydroxymethylfurfuryl_alcohol,1.7969594855435977
Baicalein,1.7946616361500853
Capsidiol,1.7926435526847164
Coniferyl_aldehyde,1.7853695468480173
(R)-3-Hydroxybutyric_acid,1.7849304068931775
2-Methylserine,1.7842358278728727
"3-(3,4-Dihydroxy-5-methoxy)-2-propenoic_acid",1.7831824976804762
"5,7-Dihydroxyflavone",1.7818857905690229
Loratadine,1.7813524428356526
Beta-D-Glucose,1.7770401667436824
N-Acetylglutamic_acid,1.7753662258677765
Diosmetin,1.7725041846294585
4-Methylbenzyl_alcohol,1.7607979623608323
L-Arginine,1.7607359459034682
Kojic_acid,1.7581375737745848
N-Acetylaspartylglutamate,1.7534463080346145
Glycylleucine,1.7491448276180281
O-Acetylcarnitine,1.7460556892078556
D-alpha-Aminobutyric_acid,1.7428601229385803
Dhurrin,1.7416907915865627
N-Butyryl-L-homoserine_lactone,1.7361382696674474
Melatonin,1.7350257222730336
Anhydroglycinol,1.7339085272876096
Ubiquinone-1,1.7303735726767286
trans-Ferulic_acid,1.7251480191242037
L-2-Amino-6-oxoheptanedioate,1.7245388654303457
Pyridoxamine,1.7167968613987175
Saccharopine,1.71626681504329
Naringenin,1.7158989601728727
(S)-Reticuline,1.7135556810899186
Sinapic_acid,1.7029675463542187
beta-Hydroxyarginine,1.6971928342268663
GMP,1.6971375261181707
N-methyl-L-glutamic_Acid,1.694549237216002
threo-3-Hydroxy-D-aspartate,1.6909272279825158
Dihydrothymine,1.6848948952241918
Carnosine,1.6829206523276368
Nornicotine,1.680972015666355
4-Methylcatechol,1.6794855489252818
Pipecolic_acid,1.6761593188845674
Uridine,1.6760603544695336
Pimelic_acid,1.6728020307303668
4-Hydroxystyrene,1.6701228685064429
D-Lyxose,1.6700284792944793
4-Guanidinobutanoic_acid,1.6689953194412304
Ketoleucine,1.664687034832363
Tyramine,1.6608021205935508
gamma-Glutamylalanine,1.6542508630507604
"1,5-Naphthalenediamine",1.6424304001380707
D-Xylose,1.640587215466134
Thyrotropin_releasing_hormone,1.631754542882985
2-Phenylethanol,1.6227217107945924
"(3E)-3-[(1R,5R,6S)-5-Hydroxy-7-oxabicyclo[4.1.0]heptan-2-ylidene]-2-oxopropanoate",1.6226112816092868
Shikimic_acid,1.6202915762337364
Sebacic_acid,1.6183235735271002
Tryptophan,1.6131137855453128
Ibuprofen,1.61295594896189
Daidzein,1.6102241990850714
Imidazol-5-yl-pyruvate,1.5989298233410294
D-Octopine,1.5963832511911278
N-Acetylserotonin,1.5915805408552357
Methyl_jasmonate,1.585696636086171
3-Methyl-L-tyrosine,1.5841116295466655
Glutarate_semialdehyde,1.582139669362767
"13,14-Dihydro-15-keto-PGE2",1.5735372249653057
Gamma-Linolenic_acid,1.572563625181307
D-(+)-Glucose,1.5693642518323434
Biochanin_A,1.5671713809857677
(S)-2-Phenyloxirane,1.5666086640308685
Oxoadipic_acid,1.552756766452661
N2-Succinyl-L-arginine,1.5527066572339043
Phenylethylamine,1.5483333790359284
Anisomycin,1.5419760233760793
N5-(L-1-Carboxyethyl)-L-ornithine,1.539048697555044
Tyrosol,1.53141600749992
Porphobilinogen,1.5282049410744472
Luteolin,1.5231505116035788
Guanine,1.5112993108857784
Undecanoic_acid,1.4963182259866263
Terephthalate,1.4961278310840094
Hydroxyphenyllactic_acid,1.495339275318048
4-Hydroxyphenylacetylglutamic_acid,1.4934487324402184
Quercetin,1.4869660023584517
Pelargonic_acid,1.483517165163469
myo-Inositol,1.4808375422846183
Nicotine,1.4801998958577558
Aflatoxin_B1,1.4791511090018792
N-Acetyl-D-tryptophan,1.4756435996370387
Benzoylecgonine,1.4732463702580567
Ketoprofen,1.4664512096010691
Creatinine,1.4656607721273307
Maltol,1.4614089048945413
Deoxyinosine,1.4305566228433464
Aspartame,1.428963410401628
Amino_acid(Arg-),1.4205446825478345
Antiarol,1.4183229577960872
1-Hexadecanol,1.4130713553719902
Galactaric_acid,1.409906576249831
Deoxyadenosine,1.3990113529012282
Enterolactone,1.3968030947669134
4-(3-Methylbut-2-enyl)-L-tryptophan,1.396337705450618
Bilobalide_A,1.389603445946231
N-Acetylleucine,1.389348703958563
"3,4-Dihydroxybenzaldehyde",1.382862991551495
"3,4-Dihydroxymandelic_acid",1.3782411751664716
Pterin,1.3712002844440594
Brevianamide_F,1.3656451081299823
HC-toxin,1.3585475790168884
5-Amino-2-oxopentanoic_acid,1.3553091035671347
N(omega)-Nitro-L-arginine_methyl_ester,1.3547074602359481
Benzoate,1.3504341805873616
Citrulline,1.3488274496083499
Dihydrouracil,1.3367081789142423
DHHA,1.335658481733757
2-Methoxy-4-vinylphenol,1.3317570358980848
PGA1,1.3310265768308491
Dioxacarb,1.3147515133592718
N-Acetyl-D-phenylalanine,1.3104402708373235
6-Methoxymellein,1.301942334005662
Riboflavin,1.2999294064811224
Methylisoeugenol,1.2908845744452278
L-Glutamine,1.2892515141653653
Acetylcholine_,1.2892483266454826
Tyrosine_methylester,1.288757728977203
2-Hydroxybutyric_acid,1.2871356028319094
Dihydrofolic_acid,1.284716391673781
Cyclopeptine,1.2845020813926362
N-Acetyl-L-aspartic_acid,1.2837717977473306
Indolelactic_acid,1.2833387809410985
D-2-Hydroxyglutaric_acid,1.2788398295940062
L-Alanyl-gamma-D-glutamyl-L-lysine,1.2732497879308784
Benzamide,1.2730951993294533
Phenyl_acetate,1.2616802134563827
Dopamine,1.259442159107945
N2-Succinyl-L-glutamic_acid_5-semialdehyde,1.2535878864891667
D-Galactose,1.249624406541677
D-Lysopine,1.2479166357962639
Linoleic_acid,1.2436855206424842
all-trans-Retinoic_acid,1.2421589910997277
Oxoglutaric_acid,1.241718787918091
Caffeate,1.2399694259397478
3-Methyladenine,1.239279209686873
